date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2016-12-20,74939,-83130,8191,48.993511024281325,45.680008517267076,31.090277531634353
2016-12-27,83520,-93090,9570,53.982928644525074,40.098957195129465,33.534186367986386
2017-01-03,73679,-81863,8184,48.26088473346358,46.38996755593659,31.07787190302343
2017-01-10,81708,-83809,2101,52.92934226439669,45.29953323135027,20.297380640130438
2017-01-17,89005,-91857,2852,57.172178807330916,40.78986445217723,21.628327366816716
2017-01-24,87682,-86604,-1078,56.402921201972276,43.73336471273836,14.663453018112218
2017-01-31,99697,-102786,3089,63.38903618941297,34.665837353819605,22.04834650692943
2017-02-07,92417,-92001,-416,59.15608428691041,40.70917455354391,15.836671038173892
2017-02-14,89681,-86341,-3340,57.56523862684901,43.880735847047816,10.654662744125048
2017-02-21,79376,-75926,-3450,51.57340217694669,49.71674483500597,10.459717151667672
2017-02-28,83787,-83638,-149,54.138175644245976,45.39535248597733,16.30985715804771
2017-03-07,74789,-74902,113,48.906293608707784,50.290539669731764,16.774182114628008
2017-03-14,74116,-76105,1989,48.51497813750116,49.61644280823261,20.09889058235565
2017-03-21,76132,-81287,5155,49.687180202809564,46.71272715046985,25.709779179810724
